combo mu_0 effect n theta nb.error t Welch log Wilcoxan nb nb.x2 nb.perm qp
1 4 1 5 0.5 0 0.19170548498516 0.226783433373144 0.0528438060594072 0.0660753110898275 0.00799200799200799 0.0119551699852988 0.0384807596201899 0.18102423657575
1 4 1 5 0.5 0 1 1 0.778552555692126 0.916051072281896 0.975024975024975 1 0.985007496251874 0.999999999690853
1 4 1 5 0.5 0 0.76716989526176 0.767250509519556 0.585937958606982 0.588809186540854 0.759240759240759 0.784807311895231 0.769115442278861 0.763687513681601
1 4 1 5 0.5 0 0.446400728264834 0.451910284061059 0.400900784543489 0.524518280213076 0.485514485514486 0.342101320867315 0.465767116441779 0.419007098387538
1 4 1 5 0.5 0 0.473659871293438 0.478647535657009 0.69306045803349 0.662311002997564 0.457542457542458 0.530441984349551 0.486256871564218 0.445117951249875
1 4 1 5 0.5 0 0.639304276519141 0.639758564630928 0.685760410242702 0.832004028572637 0.673326673326673 0.656946280600166 0.651674162918541 0.630360621001096
1 4 1 5 0.5 0 0.758989607197243 0.763487312539566 0.736278807537942 0.655836496590659 0.641358641358641 0.774955168460023 0.777111444277861 0.738045344054115
1 4 1 5 0.5 0 0.400693535953752 0.419877705852893 0.603606350037545 0.832518812679276 0.294705294705295 0.244745446090525 0.44127936031984 0.325426266091078
1 4 1 5 0.5 0 0.181100398312495 0.204542405315352 0.342943618351469 0.397614751956531 0.147852147852148 0.106823160997944 0.20039980009995 0.117490020231469
1 4 1 5 0.5 0 0.300548804809708 0.315751033481011 0.368941249229005 0.394662549117567 0.237762237762238 0.244541819889881 0.312843578210895 0.248314737359623
1 4 1 5 0.5 0 0.131807997438786 0.160691975565188 0.168232406312512 0.235861310334268 0.024975024975025 0.0609933113961959 0.103448275862069 0.0723308921742248
1 4 1 5 0.5 0 0.88718902391817 0.889493318055742 0.208700760615604 0.130133681688069 0.887112887112887 0.880661323885399 0.895052473763118 0.8871670280397
1 4 1 5 0.5 0 0.561096651698078 0.56189279360474 0.640810211810468 0.751829634045849 0.548451548451548 0.537969489419256 0.551724137931034 0.54407804014562
1 4 1 5 0.5 0 0.907808129638708 0.907954081845283 0.905212362172255 1 0.904095904095904 0.904959143341604 0.907546226886557 0.904588366245153
1 4 1 5 0.5 0 0.694242949629862 0.695917243437985 0.999359431357771 0.834035229790992 0.715284715284715 0.660661014034787 0.71864067966017 0.678871594542398
1 4 1 5 0.5 0 0.196667226487726 0.222687069541813 0.358721231873571 0.527089256865538 0.128871128871129 0.122124728629371 0.205897051474263 0.126475638625004
1 4 1 5 0.5 0 0.370786625798003 0.375337510360572 0.243066346458353 0.179712494879 0.274725274725275 0.322363083297772 0.3968015992004 0.370950270605417
1 4 1 5 0.5 0 0.347302063365061 0.364543333999652 0.738449683655455 0.829356960732679 0.243756243756244 0.412166362983381 0.371314342828586 0.286752890194611
1 4 1 5 0.5 0 0.0755922576265633 0.101385275705212 0.0502434488840747 0.0740260891579305 0.026973026973027 0.0184063692078509 0.0439780109945027 0.0293380482788893
1 4 1 5 0.5 0 0.633138800471586 0.634136119669157 0.404094063582743 0.671373240540873 0.623376623376623 0.606880192901029 0.614692653673163 0.631257127365138
1 4 1 5 0.5 0 0.815787749347739 0.816031589516726 0.908800349123424 0.828262540835312 0.78021978021978 0.83138866047051 0.816091954022989 0.80902656321585
1 4 1 5 0.5 0 0.228771478696709 0.256368148876298 0.348937276891837 0.388629492740927 0.165834165834166 0.156293393838192 0.211394302848576 0.156439270968345
1 4 1 5 0.5 0 0.025424042264296 0.035839768505323 0.0394226236139287 0.0660753110898275 0.002997002997003 0.0157212266976823 0.0169915042478761 0.00518343542920882
1 4 1 5 0.5 0 1 1 0.6497795316843 0.595883090565178 1 0.999999904884748 0.9960019990005 0.999999999999867
1 4 1 5 0.5 0 0.712847272584217 0.713107151619619 0.539135275969033 0.586367714668211 0.696303696303696 0.694834071510125 0.696151924037981 0.710001909728918
1 4 1 5 0.5 0 0.881733673032579 0.881815338427396 0.836701331994488 0.752567100069272 0.874125874125874 0.877792574767095 0.879060469765117 0.877678991631904
1 4 1 5 0.5 0 0.398425537436779 0.399197520449179 0.309908519603809 0.332111977901723 0.448551448551449 0.532077987208982 0.386306846576712 0.392424024009894
1 4 1 5 0.5 0 0.107522960295334 0.138977023275522 0.280894456817381 0.387093697259096 0.0529470529470529 0.10362540180912 0.140929535232384 0.051928185678059
1 4 1 5 0.5 0 0.906507510256172 0.906540984449268 0.637950071997179 0.590013887163346 0.882117882117882 0.911735111682418 0.898550724637681 0.904070248881558
1 4 1 5 0.5 0 0.59580225050747 0.608293622040334 0.883352895014044 0.655836496590659 0.517482517482518 0.499796120240685 0.616691654172913 0.541191662861888
